A1,A2,A3,A4,A5,B1,B2,B3,C1,C2,C3,C4,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,F7,F8,F9,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15
42,Female / Perempuan,Master,Kerajaan,"RM 5,000 ï¿½ï¿½ï¿½ï¿½ï",Yes / Ya,Android,Hotspot,Communication/ Komunikasi;Education/Pembelajaran;Entertainment/Hiburan;Business/ Perniagaan,None / Tiada asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,tidak pernah belajar secara langsung,tidak pernah belajar secara langsung,tidak pernah mencuba,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Choose tutor/ Pilih tutor.;In-App communication/ Komunikasi dalam Aplikasi;Gamification / Gamifikasi;Quiz / Kuiz;Intuitive Interface / Antara Muka Intuitif (mudah difahami);Progress bar / Bar Kemajuan,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
43,Female / Perempuan,SPM,Swasta,Bawah RM 2500,Yes / Ya,Android,Wi-Fi;Mobile Data,Communication/ Komunikasi;Entertainment/Hiburan,None / Tiada asas,No / Tidak,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,No / Tidak,No / Tidak,Yes / Ya,Yes / Ya,No / Tidak,Yes / Ya,No / Tidak,Yes / Ya,No / Tidak,Choose tutor/ Pilih tutor.;Gamification / Gamifikasi;Quiz / Kuiz;Offline learning / Pembelajaran luar talian;Progress bar / Bar Kemajuan,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,No / Tidak,Yes / Ya,Yes / Ya,3,2,3,3,2,2,1,3,2,1,3,1,3,2,2
40,Female / Perempuan,Master,Kerajaan,"RM 5,000 ï¿½ï¿½ï¿½ï¿½ï",Yes / Ya,Android,Wi-Fi,Communication/ Komunikasi;Education/Pembelajaran,None / Tiada asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Gamification / Gamifikasi;Quiz / Kuiz,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
43,Female / Perempuan,Degree,Bekerja sendiri,Bawah RM 2500,Yes / Ya,Android,Wi-Fi;Broadband;Hotspot,Communication/ Komunikasi;Education/Pembelajaran;Entertainment/Hiburan;Business/ Perniagaan,None / Tiada asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,In-App communication/ Komunikasi dalam Aplikasi;Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi;Quiz / Kuiz,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
54,Female / Perempuan,SPM,Bekerja sendiri,Bawah RM 2500,Yes / Ya,Android,Wi-Fi;mobile data,Communication/ Komunikasi;Education/Pembelajaran,None / Tiada asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Choose tutor/ Pilih tutor.;In-App communication/ Komunikasi dalam Aplikasi;Quiz / Kuiz;Offline learning / Pembelajaran luar talian;Intuitive Interface / Antara Muka Intuitif (mudah difahami);Progress bar / Bar Kemajuan,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3
42,Female / Perempuan,Degree,Swasta,"RM 5,000 ï¿½ï¿½ï¿½ï¿½ï",Yes / Ya,Android,Wi-Fi;Hotspot,Communication/ Komunikasi;Education/Pembelajaran;Entertainment/Hiburan,Intermediate / Tahap Pertengahan,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi;Gamification / Gamifikasi;Quiz / Kuiz;Offline learning / Pembelajaran luar talian;Intuitive Interface / Antara Muka Intuitif (mudah difahami);Progress bar / Bar Kemajuan,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3
42,Female / Perempuan,Degree,Bekerja sendiri,Prefer not to say,Yes / Ya,Android,Wi-Fi;Hotspot,Communication/ Komunikasi;Education/Pembelajaran;Entertainment/Hiburan;Business/ Perniagaan,Basic / Tahap Asas,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,In-App communication/ Komunikasi dalam Aplikasi;Gamification / Gamifikasi;Quiz / Kuiz;Offline learning / Pembelajaran luar talian;Intuitive Interface / Antara Muka Intuitif (mudah difahami);Progress bar / Bar Kemajuan,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,2,2,3,3,3,3,3,3,3,3,3,2,3,2,3
47,Female / Perempuan,Degree,Kerajaan,"RM 5,000 ï¿½ï¿½ï¿½ï¿½ï",Yes / Ya,Apple IOS,Wi-Fi,Communication/ Komunikasi;Education/Pembelajaran;Entertainment/Hiburan,None / Tiada asas,No / Tidak,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Tidak pasti,In-App communication/ Komunikasi dalam Aplikasi;Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi;Offline learning / Pembelajaran luar talian;Intuitive Interface / Antara Muka Intuitif (mudah difahami),Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,2,2,3,3,3,3,2,3,3,3,3,2,3,3,2
52,Female / Perempuan,Degree,Kerajaan,"RM 5,000 ï¿½ï¿½ï¿½ï¿½ï",Yes / Ya,Apple IOS,Wi-Fi,Education/Pembelajaran,None / Tiada asas,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Choose tutor/ Pilih tutor.;In-App communication/ Komunikasi dalam Aplikasi;Quiz / Kuiz,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
42,Female / Perempuan,Diploma,Swasta,"RM 2,500 ï¿½ï¿½ï¿½ ",Yes / Ya,Android,Wi-Fi,Education/Pembelajaran,None / Tiada asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,"In-App communication/ Komunikasi dalam Aplikasi, Quiz / Kuiz, Intuitive Interface / Antara Muka Intuitif (mudah difahami)",Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
53,Female / Perempuan,Diploma,Swasta,"RM 5,000 ï¿½ï¿½ï¿½ R",Yes / Ya,Android,Wi-Fi,Communication/ Komunikasi,None / Tiada asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Tak belajar,Belum pernah masuk kelas bahasa arab,Tidak pernah masuk kelas,Yes / Ya,In syaa allah,Yes / Ya,In syaa allah,Boleh cuba,Yes / Ya,"Choose tutor/ Pilih tutor., In-App communication/ Komunikasi dalam Aplikasi, Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi",Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
49,Female / Perempuan,Master,Kerajaan,"RM 5,000 ï¿½ï¿½ï¿½ R",Yes / Ya,Apple IOS,Wi-Fi,"Communication/ Komunikasi, Education/Pembelajaran, Entertainment/Hiburan, Business/ Perniagaan",None / Tiada asas,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,"Choose tutor/ Pilih tutor., In-App communication/ Komunikasi dalam Aplikasi, Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi, Gamification / Gamifikasi, Quiz / Kuiz, Offline learning / Pembelajaran luar talian, Intuitive Interface / Antara Muka Intuitif (mudah difahami), Progress bar / Bar Kemajuan",Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
45,Female / Perempuan,Degree,Kerajaan,"RM 2,500 ï¿½ï¿½ï¿½ ",Yes / Ya,Android,Wi-Fi,"Communication/ Komunikasi, Education/Pembelajaran",Basic / Tahap Asas,No / Tidak,Yes / Ya,No / Tidak,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,"Choose tutor/ Pilih tutor., In-App communication/ Komunikasi dalam Aplikasi, Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi, Gamification / Gamifikasi, Quiz / Kuiz, Offline learning / Pembelajaran luar talian, Intuitive Interface / Antara Muka Intuitif (mudah difahami)",Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
43,Female / Perempuan,Diploma,Swasta,"RM 2,500 ï¿½ï¿½ï¿½ ",Yes / Ya,Android,Broadband,"Communication/ Komunikasi, Business/ Perniagaan",Basic / Tahap Asas,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,"In-App communication/ Komunikasi dalam Aplikasi, Gamification / Gamifikasi, Quiz / Kuiz, Offline learning / Pembelajaran luar talian",Yes / Ya,Yes / Ya,I don't know,I don't know,Yes / Ya,Yes / Ya,Yes / Ya,Maybe,Yes / Ya,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
51,Female / Perempuan,Degree,Kerajaan,"RM 5,000 ï¿½ï¿½ï¿½ R",Yes / Ya,Android,Wi-Fi,Communication/ Komunikasi,Basic / Tahap Asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,"Choose tutor/ Pilih tutor., In-App communication/ Komunikasi dalam Aplikasi, Quiz / Kuiz, Offline learning / Pembelajaran luar talian",Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
50,Female / Perempuan,Degree,Housewife ,Bawah RM 2500,Yes / Ya,Apple IOS,Wi-Fi,"Communication/ Komunikasi, Education/Pembelajaran, Entertainment/Hiburan",None / Tiada asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,"Choose tutor/ Pilih tutor., In-App communication/ Komunikasi dalam Aplikasi, Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi, Offline learning / Pembelajaran luar talian",Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
43,Female / Perempuan,Degree,Sendiri,"RM 2,500 ï¿½ï¿½ï¿½ ",Yes / Ya,Android,"Wi-Fi, Broadband","Communication/ Komunikasi, Education/Pembelajaran, Entertainment/Hiburan, Business/ Perniagaan",Basic / Tahap Asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,"Choose tutor/ Pilih tutor., In-App communication/ Komunikasi dalam Aplikasi, Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi, Gamification / Gamifikasi, Quiz / Kuiz, Intuitive Interface / Antara Muka Intuitif (mudah difahami), Progress bar / Bar Kemajuan",Yes / Ya,Tidak pasti,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3
40,Female / Perempuan,Spm,Surirumah,Tiada,Yes / Ya,Android,Topup,"Communication/ Komunikasi, Education/Pembelajaran, Business/ Perniagaan",None / Tiada asas,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,"In-App communication/ Komunikasi dalam Aplikasi, Quiz / Kuiz, Offline learning / Pembelajaran luar talian, Intuitive Interface / Antara Muka Intuitif (mudah difahami)",No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2
58,Female / Perempuan,Stpm,Kerajaan,"RM 2,500 ï¿½ï¿½ï¿½ ",Yes / Ya,Android,Wi-Fi,"Communication/ Komunikasi, Education/Pembelajaran",Basic / Tahap Asas,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,"Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi, Offline learning / Pembelajaran luar talian, Intuitive Interface / Antara Muka Intuitif (mudah difahami)",Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
42,Female / Perempuan,Degree,Swasta,"RM 2,500 ï¿½ï¿½ï¿½ ",Yes / Ya,Android,Wi-Fi,"Communication/ Komunikasi, Entertainment/Hiburan, Business/ Perniagaan",Intermediate / Tahap Pertengahan,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,"Choose tutor/ Pilih tutor., In-App communication/ Komunikasi dalam Aplikasi, Gamification / Gamifikasi, Quiz / Kuiz, Offline learning / Pembelajaran luar talian, Intuitive Interface / Antara Muka Intuitif (mudah difahami), Progress bar / Bar Kemajuan",Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,2,3,3,2,2,1,3,2,3,3,3
43,Female / Perempuan,Degree,Kerajaan,"RM 5,000 ï¿½ï¿½ï¿½ R",Yes / Ya,Android,Wi-Fi,Education/Pembelajaran,None / Tiada asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
43,Female / Perempuan,Spm,Tnb,"RM 2,500 ï¿½ï¿½ï¿½ ",Yes / Ya,Android,"Wi-Fi, Broadband, Hotspot","Communication/ Komunikasi, Education/Pembelajaran, Entertainment/Hiburan, Business/ Perniagaan",Basic / Tahap Asas,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,No / Tidak,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,"Choose tutor/ Pilih tutor., In-App communication/ Komunikasi dalam Aplikasi, Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi, Quiz / Kuiz",Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,No / Tidak,3,3,3,3,3,3,2,3,2,3,3,3,3,2,2
43,Female / Perempuan,Diploma,surirumah,Tidak bekerja,Yes / Ya,Android,Wi-Fi,"Communication/ Komunikasi, Education/Pembelajaran, Business/ Perniagaan",Basic / Tahap Asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,"Choose tutor/ Pilih tutor., In-App communication/ Komunikasi dalam Aplikasi, Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi, Gamification / Gamifikasi, Quiz / Kuiz, Intuitive Interface / Antara Muka Intuitif (mudah difahami)",Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
43,Female / Perempuan,Degree,Kerajaan,"RM 5,000 ï¿½ï¿½ï¿½ R",Yes / Ya,Android,Wi-Fi,"Communication/ Komunikasi, Education/Pembelajaran, Entertainment/Hiburan, Business/ Perniagaan",Intermediate / Tahap Pertengahan,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,"In-App communication/ Komunikasi dalam Aplikasi, Gamification / Gamifikasi, Quiz / Kuiz, Intuitive Interface / Antara Muka Intuitif (mudah difahami)",Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
43,Female / Perempuan,Diploma,Kerajaan,"RM 2,500 ï¿½ï¿½ï¿½ ",Yes / Ya,Android,Wi-Fi,"Communication/ Komunikasi, Education/Pembelajaran, Entertainment/Hiburan, Business/ Perniagaan",Basic / Tahap Asas,No / Tidak,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,"In-App communication/ Komunikasi dalam Aplikasi, Quiz / Kuiz",Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,2,3,3,3,2,3,2,3,2,2,2,3,2,3,2
43,Female / Perempuan,Diploma,Swasta,Bawah RM 2500,Yes / Ya,Apple IOS,Wi-Fi,"Communication/ Komunikasi, Education/Pembelajaran, Entertainment/Hiburan, Business/ Perniagaan",Basic / Tahap Asas,No / Tidak,Yes / Ya,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,"In-App communication/ Komunikasi dalam Aplikasi, Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi, Quiz / Kuiz, Offline learning / Pembelajaran luar talian, Intuitive Interface / Antara Muka Intuitif (mudah difahami)",Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
43,Female / Perempuan,Diploma,Surirumah,-,Yes / Ya,Android,Wi-Fi,"Communication/ Komunikasi, Education/Pembelajaran, Entertainment/Hiburan",Basic / Tahap Asas,No / Tidak,Yes / Ya,Yes / Ya,No / Tidak,No / Tidak,Yes / Ya,No / Tidak,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,"Choose tutor/ Pilih tutor., In-App communication/ Komunikasi dalam Aplikasi, Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi, Gamification / Gamifikasi, Quiz / Kuiz, Intuitive Interface / Antara Muka Intuitif (mudah difahami), Progress bar / Bar Kemajuan",Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
43,Female / Perempuan,Master,Swasta,"RM 5,000 ï¿½ï¿½ï¿½ R",Yes / Ya,Android,Wi-Fi,Communication/ Komunikasi,None / Tiada asas,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,"Choose tutor/ Pilih tutor., In-App communication/ Komunikasi dalam Aplikasi, Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi, Gamification / Gamifikasi, Quiz / Kuiz, Progress bar / Bar Kemajuan",Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
43,Female / Perempuan,Degree,Kerajaan,"RM 5,000 ï¿½ï¿½ï¿½ R",Yes / Ya,Android,Wi-Fi,Communication/ Komunikasi,None / Tiada asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,"Choose tutor/ Pilih tutor., In-App communication/ Komunikasi dalam Aplikasi, Gamification / Gamifikasi, Quiz / Kuiz, Offline learning / Pembelajaran luar talian",Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3
43,Female / Perempuan,Degree,Swasta,"RM 5,000 ï¿½ï¿½ï¿½ R",Yes / Ya,Android,"Wi-Fi, Hotspot","Communication/ Komunikasi, Education/Pembelajaran, Business/ Perniagaan",None / Tiada asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,"Choose tutor/ Pilih tutor., In-App communication/ Komunikasi dalam Aplikasi, Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi, Progress bar / Bar Kemajuan",Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,2,2,3,2,3,2,2
43,Female / Perempuan,Degree,Kerajaan,"RM 5,000 ï¿½ï¿½ï¿½ R",Yes / Ya,Android,"Wi-Fi, Hotspot","Communication/ Komunikasi, Education/Pembelajaran, Entertainment/Hiburan",Basic / Tahap Asas,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,"Choose tutor/ Pilih tutor., In-App communication/ Komunikasi dalam Aplikasi, Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi, Gamification / Gamifikasi, Quiz / Kuiz, Offline learning / Pembelajaran luar talian, Intuitive Interface / Antara Muka Intuitif (mudah difahami)",Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2
43,Female / Perempuan,Degree,Swasta,"Lebih RM 11,000",Yes / Ya,Android,Wi-Fi,"Communication/ Komunikasi, Education/Pembelajaran, Entertainment/Hiburan, Business/ Perniagaan",Basic / Tahap Asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,"Choose tutor/ Pilih tutor., In-App communication/ Komunikasi dalam Aplikasi, Offline learning / Pembelajaran luar talian, Intuitive Interface / Antara Muka Intuitif (mudah difahami), Progress bar / Bar Kemajuan",Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,2,3,2,3,2,2,2,3,2,2,2
51,Female / Perempuan,Degree,Kerajaan,"RM 5,000 ï¿½ï¿½ï¿½ R",Yes / Ya,Android,Wi-Fi,"Communication/ Komunikasi, Education/Pembelajaran",Intermediate / Tahap Pertengahan,Yes / Ya,Yes / Ya,No / Tidak,No / Tidak,Yes / Ya,No / Tidak,No / Tidak,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,"In-App communication/ Komunikasi dalam Aplikasi, Quiz / Kuiz",Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
